uniprot_id	bulk_abundance	new_single_cell_F1	new_single_cell_F3	new_single_cell_F5	new_single_cell_F7	new_single_cell_F9	new_single_cell_F11	new_single_cell_F13	new_single_cell_F15	new_single_cell_F17	new_single_cell_F19	old_single_cell_F3	old_single_cell_F4	old_single_cell_F5	query_id	score
A0A087X0X3	2780295.6012382	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0X3	1.0
A0A087X0X5	394274.181865299	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X0X5	2.0
A0A087X101	97341.4197999535	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X101	1.0
A0A087X126	324271.913488233	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X126	2.0
A0A087X146	233657.386555751	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X146	1.0
A0A087X163	215870.538092661	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X163	1.0
A0A087X178	12504.8852782737	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X178	0.0
A0A087X183	135354.982060446	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X183	2.0
A0A087X1A9	133042.769808803	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1A9	1.0
A0A087X1B7	390925.121429997	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1B7	1.0
A0A087X1E4	225320.3868463	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1E4	1.0
A0A087X1I2	682011.413731994	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1I2	1.0
A0A087X1I8	11592.2776569915	False	False	False	False	False	False	False	False	False	False	False	False	False	Q7Z3E5	5.0
A0A087X1J2	22114.1567918669	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1J2	1.0
A0A087X1N3	146403.428857319	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1N3	1.0
A0A087X1P7	110923.902734612	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1P7	1.0
A0A087X1S2	3076647.16896683	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1S2	0.0
A0A087X1S3	7590.26060958995	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1S3	1.0
A0A087X1U6	499418.567215544	False	False	False	False	False	False	False	False	False	False	False	False	False	P58107	5.0
A0A087X1U8	200960.889316255	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1U8	1.0
A0A087X1W2	1463746.56860452	False	False	False	False	False	False	False	False	False	False	False	False	False	Q99873	5.0
A0A087X1W5	87599.2216608352	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1W5	2.0
A0A087X1X9	2623.20406060199	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1X9	1.0
A0A087X1Z3	1721428.5725441	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X1Z3	1.0
A0A087X208	37474.7271204126	False	False	False	False	False	False	False	False	False	False	False	False	False	A0A087X208	2.0
